MaxOpponentScore,Score,WinPercentage,AverageOpponentScore
1000,800,0.1267,500.053
1000,850,0.0998,498.686
1000,900,0.0964,499.599
1000,950,0.0781,501.023
1050,50,0.01,525.549
1050,100,0.0347,526.378
1050,150,0.112,524.268
1050,200,0.1853,524.904
1050,250,0.2404,524.078
1050,300,0.2699,525.04
1050,350,0.2765,526.289
1050,400,0.2787,525.902
1050,450,0.2632,524.674
1050,500,0.2476,523.5
1050,550,0.2333,524.393
1050,600,0.2063,525.06
1050,650,0.1804,522.54
1050,700,0.169,525.233
1050,750,0.1481,523.806
1050,800,0.1319,524.691
1050,850,0.1062,525.237
1050,900,0.1052,522.848
1050,950,0.0866,525.367
1100,50,0.0115,549.467
1100,100,0.0422,549.036
1100,150,0.1246,552.529
1100,200,0.1898,549.835
1100,250,0.254,550.866
1100,300,0.2775,547.614
1100,350,0.288,547.279
1100,400,0.2808,550.65
1100,450,0.2703,548.751
1100,500,0.2568,549.351
1100,550,0.2339,550.019
1100,600,0.2105,547.65
1100,650,0.1927,550.927
1100,700,0.1717,549.606
1100,750,0.1502,547.478
1100,800,0.1254,549.882
1100,850,0.1178,549.338
1100,900,0.1026,550.308
1100,950,0.0872,552.997
1150,50,0.0116,575.162
1150,100,0.0397,575.955
1150,150,0.1245,575.951
1150,200,0.1976,576.816
1150,250,0.2524,575.957
1150,300,0.2887,575.623
1150,350,0.2891,575.875
1150,400,0.2856,577.192
1150,450,0.2772,574.02
1150,500,0.2597,575.332
1150,550,0.236,576.945
1150,600,0.2137,576.457
1150,650,0.1971,574.654
1150,700,0.1728,575.388
1150,750,0.1554,573.62
1150,800,0.1261,572.337
1150,850,0.1159,574.498
1150,900,0.1074,574.79
1150,950,0.0885,575.32
1200,50,0.0146,600.382
1200,100,0.045,599.404
1200,150,0.133,604.196
1200,200,0.2034,599.126
1200,250,0.2685,599.54
1200,300,0.2917,599.87
1200,350,0.3093,598.452
1200,400,0.2952,599.751
1200,450,0.2864,600.033
1200,500,0.2626,600.206
1200,550,0.2474,604.442
1200,600,0.227,599.026
1200,650,0.207,601.368
1200,700,0.1799,601.571
1200,750,0.159,601.366
1200,800,0.1343,599.241
1200,850,0.1186,599.847
1200,900,0.1121,598.823
1200,950,0.0954,600.696
1250,50,0.0155,626.191
1250,100,0.0492,624.382
1250,150,0.1381,624.591
1250,200,0.2133,625.057
1250,250,0.2685,626.888
1250,300,0.2968,624.596
1250,350,0.3049,624.743
1250,400,0.3072,624.268
1250,450,0.2933,625.857
1250,500,0.2791,623.905
1250,550,0.2518,623.937
1250,600,0.2265,626.057
1250,650,0.2084,626.284
1250,700,0.176,624.454
1250,750,0.1645,624.571
1250,800,0.1358,624.958
1250,850,0.1313,624.793
1250,900,0.117,625.106
1250,950,0.0974,626.262
1300,50,0.0168,647.939
1300,100,0.0546,651.39
1300,150,0.15,651.089
1300,200,0.2331,651.097
1300,250,0.2791,651.962
1300,300,0.3132,651.404
1300,350,0.3161,649.898
1300,400,0.3207,650.77
1300,450,0.2966,648.919
1300,500,0.281,650.962
1300,550,0.2588,651.988
1300,600,0.2383,649.514
1300,650,0.2162,650.103
1300,700,0.1864,649.219
1300,750,0.1716,650.442
1300,800,0.1485,650.617
1300,850,0.1304,652.603
1300,900,0.1132,652.45
1300,950,0.1028,648.815
1350,50,0.0175,675.518
1350,100,0.0596,674.061
1350,150,0.1587,671.876
1350,200,0.2299,671.801
1350,250,0.2942,677.916
1350,300,0.3204,675.242
1350,350,0.3371,675.636
1350,400,0.3226,673.98
1350,450,0.3066,673.246
1350,500,0.2835,674.859
1350,550,0.2615,677.265
1350,600,0.24,673.274
1350,650,0.2214,676.543
1350,700,0.1962,672.924
1350,750,0.1803,675.969
1350,800,0.1448,673.812
1350,850,0.1307,675.747
1350,900,0.1252,674.773
1350,950,0.1014,674.761
1400,50,0.0212,700.588
1400,100,0.0651,698.694
1400,150,0.1673,700.556
1400,200,0.2539,698.432
1400,250,0.3003,699.069
1400,300,0.3373,701.428
1400,350,0.3296,701.772
1400,400,0.3293,696.364
1400,450,0.3245,696.821
1400,500,0.2983,701.569
1400,550,0.2841,700.19
1400,600,0.2451,700.68
1400,650,0.2189,700.815
1400,700,0.1952,699.156
1400,750,0.1795,699.703
1400,800,0.1496,701.535
1400,850,0.1384,698.774
1400,900,0.1247,702.838
1400,950,0.1065,698.648
1450,50,0.0237,722.338
1450,100,0.0708,721.576
1450,150,0.1748,722.938
1450,200,0.2531,724.667
1450,250,0.3162,727.099
1450,300,0.3352,725.663
1450,350,0.3514,725.224
1450,400,0.3335,724.487
1450,450,0.3183,724.648
1450,500,0.3026,723.111
1450,550,0.2813,724.547
1450,600,0.2575,722.391
1450,650,0.2317,722.536
1450,700,0.2046,723.502
1450,750,0.19,725.013
1450,800,0.1582,724.186
1450,850,0.1361,726.82
1450,900,0.1267,725.393
1450,950,0.1129,721.814
